label,med_real,med_ctrl,ratio,p_val,d
Guava (Preconditions),84.61359999999999,81.2413,1.041509675497561,0.0019045321644495525,0.4666666666666667
Commons Lang (NumberUtils),80.2855,79.77545,1.0063935709544727,0.8360239504893114,0.03111111111111111
Commons Math (Fraction),76.04475,74.7699,1.0170503103521602,0.13928936568684833,0.2222222222222222
Gson (JsonWriter),84.6734,84.5643,1.0012901425305951,0.7674679739607242,-0.044444444444444446
Jackson (UTF8Writer),120.39675,118.6771,1.0144901585899893,0.10707027092382154,0.24222222222222223
Joda-Time (LocalDate),84.61075,74.82785,1.1307387556905617,1.1512788615517485e-08,0.8577777777777778
Commons Collections (RingBuffer),73.23725,73.76689999999999,0.9928199504113635,0.39938939501369475,-0.12666666666666668
Commons IO (FilenameUtils),80.14930000000001,80.41659999999999,0.9966760594205677,0.6467245773434842,0.06888888888888889
Commons Codec (Base64),82.1112,86.30160000000001,0.9514447009093688,1.2922961056730648e-05,-0.6555555555555556
Slf4j (MessageFormatter),76.51595,74.11755,1.0323594074547797,0.12415128109149284,0.2311111111111111
